"Subject","Experiment","ratio","Condition"
201,"Study3","0,880952381","Boundary"
204,"Study3","0,833333333","Boundary"
205,"Study3","0,69047619","Boundary"
206,"Study3","0,928571429","Boundary"
207,"Study3","0,928571429","Boundary"
208,"Study3","0,69047619","Boundary"
209,"Study3","0,595238095","Boundary"
210,"Study3","0,5","Boundary"
211,"Study3","0,738095238","Boundary"
213,"Study3","0,904761905","Boundary"
214,"Study3","0,595238095","Boundary"
215,"Study3","0,571428571","Boundary"
216,"Study3","0,952380952","Boundary"
217,"Study3","0,80952381","Boundary"
219,"Study3","1","Boundary"
221,"Study3","0,833333333","Boundary"
222,"Study3","0,80952381","Boundary"
224,"Study3","0,904761905","Boundary"
225,"Study3","0,357142857","Boundary"
226,"Study3","0,619047619","Boundary"
227,"Study3","0,80952381","Boundary"
229,"Study3","0,80952381","Boundary"
230,"Study3","0,928571429","Boundary"
231,"Study3","0,761904762","Boundary"
233,"Study3","0,952380952","Boundary"
234,"Study3","0,69047619","Boundary"
235,"Study3","0,880952381","Boundary"
236,"Study3","0,80952381","Boundary"
237,"Study3","0,976190476","Boundary"
239,"Study3","0,80952381","Boundary"
201,"Study3","0,786904762","SameContext"
204,"Study3","0,726190476","SameContext"
205,"Study3","0,625","SameContext"
206,"Study3","0,876190476","SameContext"
207,"Study3","0,894047619","SameContext"
208,"Study3","0,547619048","SameContext"
209,"Study3","0,555952381","SameContext"
210,"Study3","0,566666667","SameContext"
211,"Study3","0,6","SameContext"
213,"Study3","0,73452381","SameContext"
214,"Study3","0,469047619","SameContext"
215,"Study3","0,488095238","SameContext"
216,"Study3","0,807142857","SameContext"
217,"Study3","0,780952381","SameContext"
219,"Study3","0,903571429","SameContext"
221,"Study3","0,783333333","SameContext"
222,"Study3","0,779761905","SameContext"
224,"Study3","0,751190476","SameContext"
225,"Study3","0,552380952","SameContext"
226,"Study3","0,554761905","SameContext"
227,"Study3","0,760714286","SameContext"
229,"Study3","0,710714286","SameContext"
230,"Study3","0,861904762","SameContext"
231,"Study3","0,785714286","SameContext"
233,"Study3","0,85952381","SameContext"
234,"Study3","0,55952381","SameContext"
235,"Study3","0,773809524","SameContext"
236,"Study3","0,857142857","SameContext"
237,"Study3","0,91547619","SameContext"
239,"Study3","0,74047619","SameContext"
201,"Study3","0,785714286","First"
204,"Study3","0,785714286","First"
205,"Study3","0,642857143","First"
206,"Study3","1","First"
207,"Study3","0,714285714","First"
208,"Study3","0,571428571","First"
209,"Study3","0,642857143","First"
210,"Study3","0,5","First"
211,"Study3","0,642857143","First"
213,"Study3","0,642857143","First"
214,"Study3","0,5","First"
215,"Study3","0,571428571","First"
216,"Study3","0,928571429","First"
217,"Study3","0,571428571","First"
219,"Study3","0,928571429","First"
221,"Study3","0,714285714","First"
222,"Study3","0,785714286","First"
224,"Study3","0,785714286","First"
225,"Study3","0,428571429","First"
226,"Study3","0,785714286","First"
227,"Study3","0,928571429","First"
229,"Study3","0,714285714","First"
230,"Study3","0,571428571","First"
231,"Study3","0,714285714","First"
233,"Study3","0,857142857","First"
234,"Study3","0,5","First"
235,"Study3","1","First"
236,"Study3","0,857142857","First"
237,"Study3","0,785714286","First"
239,"Study3","0,714285714","First"
201,"Study3","0,714285714","Last"
204,"Study3","0,785714286","Last"
205,"Study3","0,5","Last"
206,"Study3","0,928571429","Last"
207,"Study3","1","Last"
208,"Study3","0,714285714","Last"
209,"Study3","0,428571429","Last"
210,"Study3","0,428571429","Last"
211,"Study3","0,642857143","Last"
213,"Study3","0,928571429","Last"
214,"Study3","0,428571429","Last"
215,"Study3","0,785714286","Last"
216,"Study3","0,857142857","Last"
217,"Study3","0,928571429","Last"
219,"Study3","0,857142857","Last"
221,"Study3","0,714285714","Last"
222,"Study3","0,928571429","Last"
224,"Study3","0,571428571","Last"
225,"Study3","0,571428571","Last"
226,"Study3","0,571428571","Last"
227,"Study3","1","Last"
229,"Study3","0,857142857","Last"
230,"Study3","0,928571429","Last"
231,"Study3","0,785714286","Last"
233,"Study3","0,857142857","Last"
234,"Study3","0,5","Last"
235,"Study3","0,928571429","Last"
236,"Study3","0,928571429","Last"
237,"Study3","1","Last"
239,"Study3","0,785714286","Last"
